Id,Processor_Manufacturer,Processor,GPU_Manufacturer,Memory_Capacity,Memory_Type
21,AMD,FirePro S10000,AMD,6,GDDR5
23,AMD,FirePro S10000,Sapphire,6,GDDR5
24,AMD,FirePro S7000,AMD,4,GDDR5
32,AMD,FirePro S9000,AMD,6,GDDR5
37,AMD,FirePro S9100,AMD,12,GDDR5
38,AMD,FirePro S9150,AMD,16,GDDR5
64,AMD,FirePro W7100,AMD,8,GDDR5
65,AMD,FirePro W8000,AMD,4,GDDR5
66,AMD,FirePro W8100,AMD,8,GDDR5
67,AMD,FirePro W9000,AMD,6,GDDR5
68,AMD,FirePro W9100,AMD,16,GDDR5
69,AMD,FirePro W9100,AMD,32,GDDR5
549,AMD,Radeon Pro WX 7100,AMD,8,GDDR5
764,AMD,Radeon R9 295,PowerColor,8,GDDR5
812,AMD,Radeon R9 Fury,Gigabyte,4,HBM
815,AMD,Radeon R9 Fury,XFX,4,HBM
816,AMD,Radeon R9 Fury X,Asus,4,HBM
818,AMD,Radeon R9 Fury X,Gigabyte,4,HBM
819,AMD,Radeon R9 Fury X,MSI,4,HBM
824,AMD,Radeon R9 Nano,Asus,4,HBM
826,AMD,Radeon R9 Nano,MSI,4,HBM
827,AMD,Radeon R9 Nano,PowerColor,4,HBM
937,AMD,Radeon RX Vega 64,AMD,16,HBM2
943,AMD,Radeon RX Vega 64,Sapphire,8,HBM2
1073,NVidia,GeForce 1080,Aorus,8,GDDR5X
1074,NVidia,GeForce 1080,Asus,8,GDDR5X
1076,NVidia,GeForce 1080,EVGA,8,GDDR5X
1077,NVidia,GeForce 1080,Gainward,8,GDDR5X
1079,NVidia,GeForce 1080,Gigabyte,8,GDDR5X
1080,NVidia,GeForce 1080,Inno3D,8,GDDR5X
1083,NVidia,GeForce 1080,MSI,8,GDDR5X
1085,NVidia,GeForce 1080,Palit,8,GDDR5X
1086,NVidia,GeForce 1080,PNY,8,GDDR5X
1087,NVidia,GeForce 1080,Zotac,8,GDDR5X
1089,NVidia,GeForce 1080 Ti,Aorus,11,GDDR5X
1090,NVidia,GeForce 1080 Ti,Asus,11,GDDR5X
1093,NVidia,GeForce 1080 Ti,EVGA,11,GDDR5X
1096,NVidia,GeForce 1080 Ti,Gigabyte,11,GDDR5X
1102,NVidia,GeForce 1080 Ti,MSI,11,GDDR5X
1107,NVidia,GeForce 1080 Ti,Zotac,11,GDDR5X
1922,NVidia,GeForce 980,EVGA,4,GDDR5
1926,NVidia,GeForce 980,Inno3D,4,GDDR5
1927,NVidia,GeForce 980,KFA2,4,GDDR5
1932,NVidia,GeForce 980,PNY,4,GDDR5
1936,NVidia,GeForce 980 Ti,Asus,6,GDDR5
1937,NVidia,GeForce 980 Ti,EVGA,6,GDDR5
1939,NVidia,GeForce 980 Ti,Gigabyte,6,GDDR5
1941,NVidia,GeForce 980 Ti,KFA2,6,GDDR5
1943,NVidia,GeForce 980 Ti,MSI,6,GDDR5
1945,NVidia,GeForce 980 Ti,Palit,6,GDDR5
1946,NVidia,GeForce 980 Ti,PNY,6,GDDR5
1947,NVidia,GeForce 980 Ti,Zotac,6,GDDR5
1991,NVidia,Quadro 6000,PNY,6,GDDR5
2002,NVidia,Quadro GP100,PNY,16,HBM2
2015,NVidia,Quadro K4200,PNY,4,GDDR5
2017,NVidia,Quadro K5000,PNY,4,GDDR5
2018,NVidia,Quadro K5200,PNY,8,GDDR5
2022,NVidia,Quadro K6000,PNY,12,GDDR5
2025,NVidia,Quadro M4000,PNY,8,GDDR5
2026,NVidia,Quadro M5000,PNY,8,GDDR5
2027,NVidia,Quadro M6000,PNY,12,GDDR5
2029,NVidia,Quadro M6000,PNY,24,GDDR5
2044,NVidia,Quadro NVS810,PNY,4,GDDR3
2048,NVidia,Quadro P4000,PNY,8,GDDR5
2050,NVidia,Quadro P5000,PNY,16,GDDR5X
2053,NVidia,Quadro P6000,PNY,24,GDDR5X
