Id,Manufacturer,RAM_Name,Memory_Type,Speed,Capacity
2,ADATA,Adata,DDR,333,1.00000
1,ADATA,Adata,DDR,400,.50000
3,ADATA,Adata,DDR,400,1.00000
4,ADATA,Adata,DDR,400,2.00000
5,ADATA,Adata,DDR2,667,1.00000
7,ADATA,Adata,DDR2,667,2.00000
6,ADATA,Adata,DDR2,800,1.00000
8,ADATA,Adata,DDR2,800,2.00000
9,ADATA,Adata,DDR2,800,4.00000
10,ADATA,Adata,DDR3,1066,2.00000
11,ADATA,Adata,DDR3,1333,2.00000
12,ADATA,Adata,DDR3,1333,4.00000
14,ADATA,Adata,DDR3,1333,8.00000
13,ADATA,Adata,DDR3,1600,4.00000
15,ADATA,Adata,DDR3,1600,8.00000
22,ADATA,Adata,DDR4,2133,16.00000
16,ADATA,Adata,DDR4,2400,8.00000
27,ADATA,Adata,DDR4,2400,32.00000
17,ADATA,Adata,DDR4,2666,8.00000
18,ADATA,Adata,DDR4,3000,8.00000
23,ADATA,Adata,DDR4,3000,16.00000
28,ADATA,Adata,DDR4,3000,32.00000
19,ADATA,Adata,DDR4,3200,8.00000
24,ADATA,Adata,DDR4,3200,16.00000
20,ADATA,Adata,DDR4,3300,8.00000
25,ADATA,Adata,DDR4,3300,16.00000
21,ADATA,Adata,DDR4,3333,8.00000
26,ADATA,Adata,DDR4,3333,16.00000
31,ADATA,Adata Gaming,DDR3,1333,4.00000
29,ADATA,Adata Gaming,DDR3,1600,1.00000
30,ADATA,Adata Gaming,DDR3,1600,2.00000
32,ADATA,Adata Gaming,DDR3,1600,4.00000
33,ADATA,Adata Gaming,DDR3,1600,6.00000
34,ADATA,Adata Performance Value,DDR3,1600,2.00000
35,ADATA,Adata Performance Value,DDR3,1600,4.00000
36,ADATA,Adata Performance Value,DDR3,1600,8.00000
37,ADATA,Adata Plus,DDR3,1600,4.00000
38,ADATA,Adata Plus,DDR3,1600,6.00000
39,ADATA,Adata Premier,DDR2,800,2.00000
40,ADATA,Adata Premier,DDR2,800,4.00000
41,ADATA,Adata Premier,DDR3,1333,2.00000
43,ADATA,Adata Premier,DDR3,1333,4.00000
45,ADATA,Adata Premier,DDR3,1333,8.00000
47,ADATA,Adata Premier,DDR3,1333,16.00000
42,ADATA,Adata Premier,DDR3,1600,2.00000
44,ADATA,Adata Premier,DDR3,1600,4.00000
46,ADATA,Adata Premier,DDR3,1600,8.00000
48,ADATA,Adata Premier,DDR3,1600,16.00000
49,ADATA,Adata Premier,DDR3L,1600,4.00000
50,ADATA,Adata Premier,DDR3L,1600,8.00000
51,ADATA,Adata Premier,DDR4,2133,4.00000
53,ADATA,Adata Premier,DDR4,2133,8.00000
55,ADATA,Adata Premier,DDR4,2133,16.00000
57,ADATA,Adata Premier,DDR4,2133,32.00000
52,ADATA,Adata Premier,DDR4,2400,4.00000
54,ADATA,Adata Premier,DDR4,2400,8.00000
56,ADATA,Adata Premier,DDR4,2400,16.00000
58,ADATA,Adata Premier,DDR4,2400,32.00000
59,ADATA,Adata Supreme,DDR2,800,2.00000
60,ADATA,Adata Supreme,DDR3,1333,4.00000
61,ADATA,Adata Supreme,DDR3,1333,8.00000
62,ADATA,Adata Value,DDR2,800,1.00000
63,ADATA,Adata Value,DDR2,800,4.00000
64,ADATA,Adata Value,DDR3,1333,2.00000
65,ADATA,Adata Value,DDR3,1333,4.00000
67,ADATA,Adata Value,DDR3,1333,8.00000
66,ADATA,Adata Value,DDR3,1600,4.00000
68,ADATA,Adata Value,DDR3,1600,8.00000
69,ADATA,Adata Value,DDR3,1600,16.00000
70,ADATA,Adata Value,DDR3L,1600,4.00000
71,ADATA,Adata Xpg Dazzle,DDR4,2400,8.00000
74,ADATA,Adata Xpg Dazzle,DDR4,2400,16.00000
77,ADATA,Adata Xpg Dazzle,DDR4,2400,32.00000
81,ADATA,Adata Xpg Dazzle,DDR4,2400,64.00000
72,ADATA,Adata Xpg Dazzle,DDR4,2800,8.00000
75,ADATA,Adata Xpg Dazzle,DDR4,2800,16.00000
78,ADATA,Adata Xpg Dazzle,DDR4,2800,32.00000
73,ADATA,Adata Xpg Dazzle,DDR4,3000,8.00000
76,ADATA,Adata Xpg Dazzle,DDR4,3000,16.00000
79,ADATA,Adata Xpg Dazzle,DDR4,3000,32.00000
82,ADATA,Adata Xpg Dazzle,DDR4,3000,64.00000
80,ADATA,Adata Xpg Dazzle,DDR4,3200,32.00000
83,ADATA,Adata Xpg Dazzle,DDR4,3200,64.00000
84,ADATA,Adata Xpg Flame,DDR4,2400,4.00000
88,ADATA,Adata Xpg Flame,DDR4,2400,8.00000
92,ADATA,Adata Xpg Flame,DDR4,2400,16.00000
85,ADATA,Adata Xpg Flame,DDR4,2666,4.00000
89,ADATA,Adata Xpg Flame,DDR4,2666,8.00000
93,ADATA,Adata Xpg Flame,DDR4,2666,16.00000
86,ADATA,Adata Xpg Flame,DDR4,2800,4.00000
90,ADATA,Adata Xpg Flame,DDR4,2800,8.00000
94,ADATA,Adata Xpg Flame,DDR4,2800,16.00000
87,ADATA,Adata Xpg Flame,DDR4,3000,4.00000
91,ADATA,Adata Xpg Flame,DDR4,3000,8.00000
95,ADATA,Adata Xpg Flame,DDR4,3000,16.00000
96,ADATA,Adata Xpg Gaming,DDR3,1333,4.00000
107,ADATA,Adata Xpg Gaming,DDR3,1333,16.00000
97,ADATA,Adata Xpg Gaming,DDR3,1600,4.00000
99,ADATA,Adata Xpg Gaming,DDR3,1600,6.00000
101,ADATA,Adata Xpg Gaming,DDR3,1600,8.00000
106,ADATA,Adata Xpg Gaming,DDR3,1600,12.00000
108,ADATA,Adata Xpg Gaming,DDR3,1600,16.00000
102,ADATA,Adata Xpg Gaming,DDR3,1866,8.00000
98,ADATA,Adata Xpg Gaming,DDR3,2000,4.00000
100,ADATA,Adata Xpg Gaming,DDR3,2000,6.00000
103,ADATA,Adata Xpg Gaming,DDR3,2000,8.00000
104,ADATA,Adata Xpg Gaming,DDR3,2133,8.00000
109,ADATA,Adata Xpg Gaming,DDR3,2133,16.00000
105,ADATA,Adata Xpg Gaming,DDR3,2400,8.00000
110,ADATA,Adata Xpg Gaming,DDR3,2400,16.00000
111,ADATA,Adata Xpg Gammix D10,DDR4,2400,4.00000
112,ADATA,Adata Xpg Gammix D10,DDR4,2400,8.00000
116,ADATA,Adata Xpg Gammix D10,DDR4,2400,16.00000
120,ADATA,Adata Xpg Gammix D10,DDR4,2400,32.00000
124,ADATA,Adata Xpg Gammix D10,DDR4,2400,64.00000
113,ADATA,Adata Xpg Gammix D10,DDR4,2666,8.00000
117,ADATA,Adata Xpg Gammix D10,DDR4,2666,16.00000
121,ADATA,Adata Xpg Gammix D10,DDR4,2666,32.00000
125,ADATA,Adata Xpg Gammix D10,DDR4,2666,64.00000
114,ADATA,Adata Xpg Gammix D10,DDR4,2800,8.00000
118,ADATA,Adata Xpg Gammix D10,DDR4,2800,16.00000
122,ADATA,Adata Xpg Gammix D10,DDR4,2800,32.00000
115,ADATA,Adata Xpg Gammix D10,DDR4,3000,8.00000
119,ADATA,Adata Xpg Gammix D10,DDR4,3000,16.00000
